episodio,goal_id,resultado,pasos,reward,heading_rad
415,goal_05,exito,243,68.04,-1.5133
416,goal_05,exito,243,68.02,-1.5127
417,goal_05,exito,243,68.04,-1.5136
418,goal_05,exito,243,68.03,-1.513
419,goal_05,exito,243,68.02,-1.5128
420,goal_05,exito,244,68.05,-1.5083
421,goal_05,exito,244,68.05,-1.5083
422,goal_05,exito,243,68.02,-1.5128
423,goal_05,exito,243,68.03,-1.5134
424,goal_05,exito,243,68.04,-1.5135
425,goal_05,exito,243,68.01,-1.5125
426,goal_05,exito,243,68.03,-1.5134
427,goal_05,exito,244,68.06,-1.5084
428,goal_05,exito,244,68.03,-1.5082
429,goal_05,exito,243,68.03,-1.5131
430,goal_05,exito,243,68.05,-1.5138
431,goal_05,exito,243,68.02,-1.5127
432,goal_05,exito,243,68.01,-1.5126
433,goal_05,exito,243,68.05,-1.5139
434,goal_05,exito,244,68.04,-1.5083
435,goal_05,exito,244,68.01,-1.5081
436,goal_05,exito,243,68.05,-1.5137
437,goal_05,exito,243,68.04,-1.5135
438,goal_05,exito,243,68.01,-1.5124
439,goal_05,exito,243,68.03,-1.5133
440,goal_05,exito,244,68.05,-1.5084
441,goal_05,exito,244,68.02,-1.5082
442,goal_05,exito,243,68.04,-1.5137
443,goal_05,exito,243,68.05,-1.5139
444,goal_05,exito,243,68.02,-1.5127
445,goal_05,exito,243,68.01,-1.5126
446,goal_05,exito,243,68.05,-1.5138
447,goal_05,exito,244,68.02,-1.5083
448,goal_05,exito,244,68.02,-1.5082
449,goal_05,exito,243,68.05,-1.5138
450,goal_05,exito,243,68.04,-1.5135
451,goal_05,exito,243,68.01,-1.5125
452,goal_05,exito,243,68.03,-1.5133
453,goal_05,exito,243,68.04,-1.5134
454,goal_05,exito,243,68.02,-1.5129
455,goal_05,exito,244,68.04,-1.5082
456,goal_05,exito,244,68.05,-1.5083
457,goal_05,exito,243,68.02,-1.5128
458,goal_05,exito,243,68.02,-1.5129
459,goal_05,exito,243,68.04,-1.5135
460,goal_05,exito,243,68.02,-1.5128
461,goal_05,exito,243,68.04,-1.5135
462,goal_05,exito,244,68.06,-1.5084
463,goal_05,exito,244,68.03,-1.5082
464,goal_05,exito,243,68.02,-1.5128
465,goal_05,exito,243,68.04,-1.5135
466,goal_05,exito,243,68.02,-1.513
467,goal_05,exito,243,68.02,-1.5128
468,goal_05,exito,244,68.04,-1.5083
469,goal_05,exito,244,68.05,-1.5083
470,goal_05,exito,243,68.03,-1.5133
471,goal_05,exito,243,68.04,-1.5134
472,goal_05,exito,243,68.03,-1.5133
473,goal_05,exito,243,68.01,-1.5125
474,goal_05,exito,243,68.03,-1.5132
475,goal_05,exito,244,68.05,-1.5084
476,goal_05,exito,244,68.03,-1.5082
477,goal_05,exito,243,68.04,-1.5135
478,goal_05,exito,243,68.04,-1.5137
479,goal_05,exito,243,68.02,-1.5128
480,goal_05,exito,243,68.02,-1.5126
481,goal_05,exito,243,68.04,-1.5138
482,goal_05,exito,244,68.04,-1.5083
483,goal_05,exito,244,68.02,-1.5082
484,goal_05,exito,243,68.04,-1.5137
485,goal_05,exito,243,68.04,-1.5135
486,goal_05,exito,243,68.02,-1.5126
487,goal_05,exito,243,68.03,-1.5131
488,goal_05,exito,243,68.04,-1.5137
489,goal_05,exito,244,68.02,-1.5082
490,goal_05,exito,244,68.03,-1.5082
491,goal_05,exito,243,68.04,-1.5136
492,goal_05,exito,243,68.03,-1.513
493,goal_05,exito,243,68.02,-1.5128
494,goal_05,exito,243,68.04,-1.5134
495,goal_05,exito,243,68.03,-1.5133
496,goal_05,exito,244,68.02,-1.5082
497,goal_05,exito,244,68.05,-1.5082
498,goal_05,exito,243,68.04,-1.5135
