episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
1002,goal_11,exit,colision,1,-150.0,True
1003,goal_11,exit,colision,1,-150.0,True
1004,goal_11,exit,colision,1,-150.0,True
1005,goal_11,exit,colision,1,-150.0,True
1006,goal_11,exit,colision,1,-150.0,True
1007,goal_11,exit,colision,1,-150.0,True
1008,goal_11,exit,colision,1,-150.0,True
1009,goal_11,exit,colision,1,-150.0,True
1010,goal_11,exit,colision,1,-150.0,True
1011,goal_11,exit,colision,1,-150.0,True
1012,goal_11,exit,colision,1,-150.0,True
1013,goal_11,exit,colision,1,-150.0,True
1014,goal_11,exit,colision,1,-150.0,True
1015,goal_11,exit,colision,1,-150.0,True
1016,goal_11,exit,colision,1,-150.0,True
1017,goal_11,exit,colision,1,-150.0,True
1018,goal_11,exit,colision,1,-150.0,True
1019,goal_11,exit,colision,1,-150.0,True
1020,goal_11,exit,colision,1,-150.0,True
1021,goal_11,exit,colision,1,-150.0,True
1022,goal_11,exit,colision,1,-150.0,True
1023,goal_11,exit,colision,1,-150.0,True
1024,goal_11,exit,colision,1,-150.0,True
1025,goal_11,exit,colision,1,-150.0,True
1026,goal_11,exit,colision,1,-150.0,True
1027,goal_11,exit,colision,1,-150.0,True
1028,goal_11,exit,colision,1,-150.0,True
1029,goal_11,exit,colision,1,-150.0,True
1030,goal_11,exit,colision,1,-150.0,True
1031,goal_11,exit,colision,1,-150.0,True
1032,goal_11,exit,colision,1,-150.0,True
1033,goal_11,exit,colision,1,-150.0,True
1034,goal_11,exit,colision,1,-150.0,True
1035,goal_11,exit,colision,1,-150.0,True
1036,goal_11,exit,colision,1,-150.0,True
1037,goal_11,exit,colision,1,-150.0,True
1038,goal_11,exit,colision,1,-150.0,True
1039,goal_11,exit,colision,1,-150.0,True
1040,goal_11,exit,colision,1,-150.0,True
1041,goal_11,exit,colision,1,-150.0,True
1042,goal_11,exit,colision,1,-150.0,True
1043,goal_11,exit,colision,1,-150.0,True
1044,goal_11,exit,colision,1,-150.0,True
1045,goal_11,exit,colision,1,-150.0,True
1046,goal_11,exit,colision,1,-150.0,True
1047,goal_11,exit,colision,1,-150.0,True
1048,goal_11,exit,colision,1,-150.0,True
1049,goal_11,exit,colision,1,-150.0,True
1050,goal_11,exit,colision,1,-150.0,True
1051,goal_11,exit,colision,1,-150.0,True
1052,goal_11,exit,colision,1,-150.0,True
1053,goal_11,exit,colision,1,-150.0,True
1054,goal_11,exit,colision,1,-150.0,True
1055,goal_11,exit,colision,1,-150.0,True
1056,goal_11,exit,colision,1,-150.0,True
1057,goal_11,exit,colision,1,-150.0,True
1058,goal_11,exit,colision,1,-150.0,True
1059,goal_11,exit,colision,1,-150.0,True
1060,goal_11,exit,colision,1,-150.0,True
1061,goal_11,exit,colision,1,-150.0,True
1062,goal_11,exit,colision,1,-150.0,True
1063,goal_11,exit,colision,1,-150.0,True
1064,goal_11,exit,colision,1,-150.0,True
1065,goal_11,exit,colision,1,-150.0,True
1066,goal_11,exit,colision,1,-150.0,True
1067,goal_11,exit,colision,1,-150.0,True
1068,goal_11,exit,colision,1,-150.0,True
1069,goal_11,exit,colision,1,-150.0,True
1070,goal_11,exit,colision,1,-150.0,True
1071,goal_11,exit,colision,1,-150.0,True
1072,goal_11,exit,colision,1,-150.0,True
1073,goal_11,exit,colision,1,-150.0,True
