episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
405,goal_041,5,col_return,8548,1160.28,05,sthwp,524,1
406,goal_041,6,exito,14290,2263.91,05,sthwp,524,1
407,goal_041,7,exito,14288,2258.96,05,sthwp,524,1
408,goal_041,8,col_return,8730,1188.75,05,sthwp,524,1
409,goal_041,9,exito,14290,2263.91,05,sthwp,524,1
410,goal_041,10,col_return,8467,1150.83,05,sthwp,524,1
411,goal_042,1,exito,16628,2551.74,05,sthwp,524,1
412,goal_042,2,exito,16618,2552.63,05,sthwp,524,1
413,goal_042,3,col_return,11288,1503.47,05,sthwp,524,1
414,goal_042,4,exito,16620,2552.4,05,sthwp,524,1
415,goal_042,5,exito,16619,2552.49,05,sthwp,524,1
416,goal_042,6,col_return,11515,1541.99,05,sthwp,524,1
417,goal_042,7,exito,16630,2552.09,05,sthwp,524,1
418,goal_042,8,exito,16619,2552.56,05,sthwp,524,1
419,goal_042,9,col_return,11639,1555.2,05,sthwp,524,1
420,goal_042,10,exito,16620,2552.41,05,sthwp,524,1
421,goal_043,1,exito,14194,2253.96,05,sthwp,524,1
422,goal_043,2,exito,14194,2254.04,05,sthwp,524,1
423,goal_043,3,exito,14195,2170.36,05,sthwp,524,1
424,goal_043,4,col_return,8741,1194.32,05,sthwp,524,1
425,goal_043,5,exito,14196,2253.89,05,sthwp,524,1
426,goal_043,6,col_return,8518,1163.48,05,sthwp,524,1
427,goal_043,7,exito,14196,2253.88,05,sthwp,524,1
428,goal_043,8,col_return,8410,1147.55,05,sthwp,524,1
429,goal_043,9,exito,14196,2253.89,05,sthwp,524,1
430,goal_043,10,exito,14213,2073.28,05,sthwp,524,1
431,goal_044,1,exito,16365,2515.52,05,sthwp,524,1
432,goal_044,2,exito,16365,2515.38,05,sthwp,524,1
433,goal_044,3,exito,16365,2515.49,05,sthwp,524,1
434,goal_044,4,exito,16365,2502.41,05,sthwp,524,1
435,goal_044,5,col_return,10859,1446.86,05,sthwp,524,1
436,goal_044,6,exito,16370,2515.76,05,sthwp,524,1
437,goal_044,7,exito,16365,2515.49,05,sthwp,524,1
438,goal_044,8,exito,16365,2505.56,05,sthwp,524,1
439,goal_044,9,col_return,10890,1444.48,05,sthwp,524,1
